Instances: 300, Iterations: 800, KeepBest: 30, KeepWorst: 21, Cross: 21, MutationFactor: 0.001, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 610, BestSol: 2011, BestFeasibleSol: 2011, GenAvgValue: 1936.85
Gen: 620, BestSol: 2030, BestFeasibleSol: 2030, GenAvgValue: 1954.49
Gen: 630, BestSol: 2030, BestFeasibleSol: 2030, GenAvgValue: 1954.52
Gen: 640, BestSol: 2030, BestFeasibleSol: 2030, GenAvgValue: 1954.52
Gen: 650, BestSol: 2030, BestFeasibleSol: 2030, GenAvgValue: 1954.52
Gen: 660, BestSol: 2030, BestFeasibleSol: 2030, GenAvgValue: 1954.52
Gen: 670, BestSol: 2030, BestFeasibleSol: 2030, GenAvgValue: 1954.52
Gen: 680, BestSol: 2099, BestFeasibleSol: 2099, GenAvgValue: 1992.74
Gen: 690, BestSol: 2107, BestFeasibleSol: 2107, GenAvgValue: 2026.13
Gen: 700, BestSol: 2107, BestFeasibleSol: 2107, GenAvgValue: 2026.13
Gen: 710, BestSol: 2107, BestFeasibleSol: 2107, GenAvgValue: 2026.01
Gen: 720, BestSol: 2107, BestFeasibleSol: 2107, GenAvgValue: 2026.13
Gen: 730, BestSol: 2107, BestFeasibleSol: 2107, GenAvgValue: 2025.98
Gen: 740, BestSol: 2107, BestFeasibleSol: 2107, GenAvgValue: 2026.13
Gen: 750, BestSol: 2124, BestFeasibleSol: 2124, GenAvgValue: 2041.94
Gen: 760, BestSol: 2124, BestFeasibleSol: 2124, GenAvgValue: 2041.94
Gen: 770, BestSol: 2124, BestFeasibleSol: 2124, GenAvgValue: 2041.94
Gen: 780, BestSol: 2124, BestFeasibleSol: 2124, GenAvgValue: 2041.94
Gen: 790, BestSol: 2124, BestFeasibleSol: 2124, GenAvgValue: 2041.94
Total best: 2124
FirstFeasibleIteration: 1
Time: 0.374006
Input file: instances/_uf250-02.cnf
Gen: 0, BestSol: 1081, BestFeasibleSol: 1081, GenAvgValue: 1105.11
Gen: 10, BestSol: 1081, BestFeasibleSol: 1081, GenAvgValue: 1063.73
Gen: 20, BestSol: 1081, BestFeasibleSol: 1081, GenAvgValue: 1063.73
Gen: 30, BestSol: 1081, BestFeasibleSol: 1081, GenAvgValue: 1063.73
Gen: 40, BestSol: 1081, BestFeasibleSol: 1081, GenAvgValue: 1063.73
Gen: 50, BestSol: 1083, BestFeasibleSol: 1083, GenAvgValue: 1065.44
Gen: 60, BestSol: 1083, BestFeasibleSol: 1083, GenAvgValue: 1065.59
Gen: 70, BestSol: 1141, BestFeasibleSol: 1141, GenAvgValue: 1119.68
Gen: 80, BestSol: 1185, BestFeasibleSol: 1185, GenAvgValue: 1119.54
Gen: 90, BestSol: 1185, BestFeasibleSol: 1185, GenAvgValue: 1160.45
Gen: 100, BestSol: 1185, BestFeasibleSol: 1185, GenAvgValue: 1160.45
Gen: 110, BestSol: 1227, BestFeasibleSol: 1227, GenAvgValue: 1160.47
Gen: 120, BestSol: 1228, BestFeasibleSol: 1228, GenAvgValue: 1199.61
Gen: 130, BestSol: 1228, BestFeasibleSol: 1228, GenAvgValue: 1200.44
Gen: 140, BestSol: 1247, BestFeasibleSol: 1247, GenAvgValue: 1218.11
Gen: 150, BestSol: 1247, BestFeasibleSol: 1247, GenAvgValue: 1218.01
Gen: 160, BestSol: 1286, BestFeasibleSol: 1286, GenAvgValue: 1254.38
Gen: 170, BestSol: 1286, BestFeasibleSol: 1286, GenAvgValue: 1254.38
Gen: 180, BestSol: 1328, BestFeasibleSol: 1328, GenAvgValue: 1293.44
Gen: 190, BestSol: 1400, BestFeasibleSol: 1400, GenAvgValue: 1360.41
Gen: 200, BestSol: 1444, BestFeasibleSol: 1444, GenAvgValue: 1401.32
Gen: 210, BestSol: 1447, BestFeasibleSol: 1447, GenAvgValue: 1401.33
Gen: 220, BestSol: 1463, BestFeasibleSol: 1463, GenAvgValue: 1418.99
Gen: 230, BestSol: 1463, BestFeasibleSol: 1463, GenAvgValue: 1418.99
Gen: 240, BestSol: 1463, BestFeasibleSol: 1463, GenAvgValue: 1418.99
Gen: 250, BestSol: 1463, BestFeasibleSol: 1463, GenAvgValue: 1418.99
Gen: 260, BestSol: 1463, BestFeasibleSol: 1463, GenAvgValue: 1418.99
Gen: 270, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1442.24
Gen: 280, BestSol: 1491, BestFeasibleSol: 1491, GenAvgValue: 1444.98
Gen: 290, BestSol: 1499, BestFeasibleSol: 1499, GenAvgValue: 1452.47
Gen: 300, BestSol: 1515, BestFeasibleSol: 1515, GenAvgValue: 1466.34
Gen: 310, BestSol: 1567, BestFeasibleSol: 1567, GenAvgValue: 1492.47
Gen: 320, BestSol: 1569, BestFeasibleSol: 1569, GenAvgValue: 1517.57
Gen: 330, BestSol: 1569, BestFeasibleSol: 1569, GenAvgValue: 1517.57
Gen: 340, BestSol: 1604, BestFeasibleSol: 1604, GenAvgValue: 1549.97
Gen: 350, BestSol: 1604, BestFeasibleSol: 1604, GenAvgValue: 1550.12
Gen: 360, BestSol: 1604, BestFeasibleSol: 1604, GenAvgValue: 1550.12
Gen: 370, BestSol: 1604, BestFeasibleSol: 1604, GenAvgValue: 1550.12
Gen: 380, BestSol: 1604, BestFeasibleSol: 1604, GenAvgValue: 1550.12
Gen: 390, BestSol: 1627, BestFeasibleSol: 1627, GenAvgValue: 1571.51
Gen: 400, BestSol: 1627, BestFeasibleSol: 1627, GenAvgValue: 1571.51
Gen: 410, BestSol: 1676, BestFeasibleSol: 1676, GenAvgValue: 1617.08
Gen: 420, BestSol: 1676, BestFeasibleSol: 1676, GenAvgValue: 1617.08
Gen: 430, BestSol: 1676, BestFeasibleSol: 1676, GenAvgValue: 1617.08
Gen: 440, BestSol: 1676, BestFeasibleSol: 1676, GenAvgValue: 1617.08
Gen: 450, BestSol: 1676, BestFeasibleSol: 1676, GenAvgValue: 1617.08
Gen: 460, BestSol: 1676, BestFeasibleSol: 1676, GenAvgValue: 1617.08
Gen: 470, BestSol: 1717, BestFeasibleSol: 1717, GenAvgValue: 1655.21
Gen: 480, BestSol: 1719, BestFeasibleSol: 1719, GenAvgValue: 1657.07
Gen: 490, BestSol: 1719, BestFeasibleSol: 1719, GenAvgValue: 1657.07
Gen: 500, BestSol: 1719, BestFeasibleSol: 1719, GenAvgValue: 1657.07
Gen: 510, BestSol: 1719, BestFeasibleSol: 1719, GenAvgValue: 1657.07
Gen: 520, BestSol: 1719, BestFeasibleSol: 1719, GenAvgValue: 1657.07
Gen: 530, BestSol: 1725, BestFeasibleSol: 1725, GenAvgValue: 1662.65
Gen: 540, BestSol: 1725, BestFeasibleSol: 1725, GenAvgValue: 1662.65
Gen: 550, BestSol: 1725, BestFeasibleSol: 1725, GenAvgValue: 1662.65
Gen: 560, BestSol: 1725, BestFeasibleSol: 1725, GenAvgValue: 1662.65
Gen: 570, BestSol: 1725, BestFeasibleSol: 1725, GenAvgValue: 1662.65
Gen: 580, BestSol: 1725, BestFeasibleSol: 1725, GenAvgValue: 1662.65
Gen: 590, BestSol: 1725, BestFeasibleSol: 1725, GenAvgValue: 1662.65
Gen: 600, BestSol: 1725, BestFeasibleSol: 1725, GenAvgValue: 1662.65
Gen: 610, BestSol: 1725, BestFeasibleSol: 1725, GenAvgValue: 1662.63
Gen: 620, BestSol: 1734, BestFeasibleSol: 1734, GenAvgValue: 1671.02
Gen: 630, BestSol: 1798, BestFeasibleSol: 1798, GenAvgValue: 1728.49
Gen: 640, BestSol: 1798, BestFeasibleSol: 1798, GenAvgValue: 1730.54
Gen: 650, BestSol: 1798, BestFeasibleSol: 1798, GenAvgValue: 1730.54
Gen: 660, BestSol: 1798, BestFeasibleSol: 1798, GenAvgValue: 1730.54
Gen: 670, BestSol: 1829, BestFeasibleSol: 1829, GenAvgValue: 1759.37
Gen: 680, BestSol: 1835, BestFeasibleSol: 1835, GenAvgValue: 1764.95
Gen: 690, BestSol: 1835, BestFeasibleSol: 1835, GenAvgValue: 1764.87
Gen: 700, BestSol: 1835, BestFeasibleSol: 1835, GenAvgValue: 1764.95
Gen: 710, BestSol: 1835, BestFeasibleSol: 1835, GenAvgValue: 1764.86
Gen: 720, BestSol: 1835, BestFeasibleSol: 1835, GenAvgValue: 1764.95
Gen: 730, BestSol: 1877, BestFeasibleSol: 1877, GenAvgValue: 1768.6
Gen: 740, BestSol: 1877, BestFeasibleSol: 1877, GenAvgValue: 1803.98
Gen: 750, BestSol: 1877, BestFeasibleSol: 1877, GenAvgValue: 1804.01
Gen: 760, BestSol: 1913, BestFeasibleSol: 1913, GenAvgValue: 1837.44
Gen: 770, BestSol: 1913, BestFeasibleSol: 1913, GenAvgValue: 1837.49
Gen: 780, BestSol: 1913, BestFeasibleSol: 1913, GenAvgValue: 1837.49
Gen: 790, BestSol: 1913, BestFeasibleSol: 1913, GenAvgValue: 1837.49
Total best: 1913
FirstFeasibleIteration: 48
Time: 0.379087
Input file: instances/_uf250-03.cnf
Gen: 0, BestSol: 1289, BestFeasibleSol: 1289, GenAvgValue: 1156.93
Gen: 10, BestSol: 1289, BestFeasibleSol: 1289, GenAvgValue: 1259.26
Gen: 20, BestSol: 1289, BestFeasibleSol: 1289, GenAvgValue: 1259.27
Gen: 30, BestSol: 1289, BestFeasibleSol: 1289, GenAvgValue: 1259.26
Gen: 40, BestSol: 1289, BestFeasibleSol: 1289, GenAvgValue: 1259.26
Gen: 50, BestSol: 1289, BestFeasibleSol: 1289, GenAvgValue: 1259.26
Gen: 60, BestSol: 1339, BestFeasibleSol: 1339, GenAvgValue: 1259.43
Gen: 70, BestSol: 1466, BestFeasibleSol: 1466, GenAvgValue: 1383.2
Gen: 80, BestSol: 1466, BestFeasibleSol: 1466, GenAvgValue: 1423.87
Gen: 90, BestSol: 1494, BestFeasibleSol: 1494, GenAvgValue: 1449.91
Gen: 100, BestSol: 1535, BestFeasibleSol: 1535, GenAvgValue: 1488.04
Gen: 110, BestSol: 1539, BestFeasibleSol: 1539, GenAvgValue: 1491.7
Gen: 120, BestSol: 1539, BestFeasibleSol: 1539, GenAvgValue: 1491.76
Gen: 130, BestSol: 1588, BestFeasibleSol: 1588, GenAvgValue: 1537.33
